iter	Passed	Remaining
0	71	71010
1	75	37538
2	78	25949
3	81	20365
4	86	17196
5	90	14970
6	93	13315
7	97	12087
8	100	11074
9	104	10321
10	107	9644
11	108	8938
12	111	8475
13	113	8011
14	115	7581
15	117	7219
16	118	6842
17	120	6576
18	122	6324
19	123	6057
20	125	5862
21	127	5685
22	129	5506
23	131	5366
24	133	5209
25	134	5052
26	136	4934
27	138	4806
28	139	4686
29	141	4580
30	143	4469
31	144	4368
32	145	4269
33	147	4177
34	148	4088
35	149	4006
36	150	3921
37	151	3842
38	153	3771
39	154	3701
40	155	3632
41	156	3560
42	156	3492
43	157	3428
44	158	3367
45	159	3305
46	160	3244
47	160	3186
48	161	3129
49	162	3081
50	162	3029
51	163	2979
52	163	2930
53	164	2883
54	165	2838
55	165	2796
56	166	2755
57	167	2719
58	168	2682
59	168	2645
60	169	2610
61	170	2573
62	170	2538
63	171	2505
64	171	2473
65	172	2442
66	173	2413
67	174	2385
68	174	2358
69	175	2331
70	176	2305
71	177	2281
72	177	2257
73	178	2234
74	179	2209
75	179	2186
76	180	2162
77	181	2140
78	181	2119
79	182	2098
80	183	2076
81	183	2057
82	184	2035
83	184	2015
84	185	1996
85	186	1977
86	186	1958
87	187	1940
88	187	1924
89	188	1906
90	189	1891
91	190	1875
92	190	1859
93	191	1844
94	192	1829
95	192	1814
96	193	1798
97	193	1784
98	194	1770
99	195	1759
100	196	1746
101	196	1733
102	197	1719
103	198	1706
104	198	1693
105	199	1680
106	199	1667
107	200	1657
108	201	1646
109	202	1635
110	202	1624
111	203	1612
112	203	1601
113	204	1589
114	205	1578
115	205	1569
116	206	1559
117	207	1548
118	207	1538
119	208	1527
120	208	1518
121	209	1507
122	210	1498
123	210	1488
124	211	1481
125	212	1473
126	213	1464
127	213	1455
128	214	1447
129	214	1438
130	215	1429
131	216	1421
132	216	1413
133	217	1405
134	218	1397
135	218	1389
136	219	1381
137	219	1373
138	220	1365
139	221	1358
140	221	1351
141	222	1344
142	223	1338
143	224	1331
144	224	1324
145	225	1317
146	225	1310
147	226	1303
148	227	1296
149	227	1291
150	228	1285
151	229	1279
152	229	1273
153	230	1266
154	231	1260
155	231	1254
156	232	1248
157	233	1243
158	234	1237
159	234	1232
160	235	1226
161	236	1221
162	236	1215
163	237	1209
164	237	1204
165	238	1199
166	239	1194
167	240	1190
